param,init,har,gesture,occupancy,smnist,traffic,power,ozone_fixed,person,cheetah
tau_d,0.1000,0.014759,0.043348,0.010447,0.039627,0.006556,0.009886,0.048345,0.015759,0.012209
a_0,0.3500,0.312160,0.081832,-0.531304,-0.272384,-0.511168,-0.398297,0.174339,-0.298529,-0.028750
tau_a_E_lo,0.2500,0.389892,0.519778,0.476261,0.316957,1.321338,0.336349,0.477964,0.924764,0.160646
tau_a_E_hi,10.0000,9.910585,10.579156,10.355387,10.548725,12.284447,10.898671,10.399828,11.510030,9.983642
tau_a_I_lo,0.2500,0.884729,0.416861,0.746988,0.246407,1.755396,2.264834,0.596231,1.914532,0.029743
tau_a_I_hi,10.0000,11.620001,10.643828,11.370440,10.085742,12.623264,13.102893,10.511037,13.470667,10.177548
c_E,0.0486,0.048545,0.025064,0.029945,0.031368,0.005686,0.022952,0.029361,0.010588,0.049801
c_I,0.0486,0.010105,0.026351,0.012952,0.045923,0.004204,0.001178,0.025636,0.001902,0.311078
c_0_E,0.000000,-0.236814,0.026401,0.241356,0.139282,-0.559390,-0.110610,-0.090189,-0.011200,-0.196312
c_0_I,0.000000,-0.354663,-0.190179,-0.655881,-0.938781,0.280856,1.647274,0.003747,-0.645252,-0.155171
tau_b_E_rec,1.0000,0.058555,0.428267,0.235608,0.283806,0.075385,0.030043,0.783557,0.227187,0.049809
tau_b_E_rel,0.2500,0.837339,0.543858,0.255408,1.645916,0.760767,0.049907,0.251524,0.542335,0.729376
tau_b_I_rec,1.0000,0.047490,0.418802,0.043554,0.197742,0.090454,0.011172,0.294947,0.134039,0.050367
tau_b_I_rel,0.2500,0.911207,0.659293,0.609362,1.036220,0.484567,0.558077,0.400144,0.816534,0.768170
W_E_mean,0.5471,0.583263,0.600308,0.743361,0.598153,0.788748,0.680835,0.557885,0.570459,0.644983
W_E_std,0.1754,0.326690,0.275463,0.426207,0.353917,0.884456,0.557890,0.192663,0.269075,0.373757
W_I_mean,-0.7173,-0.764046,-0.710203,-0.727228,-0.741871,-0.826568,-0.939747,-0.699796,-0.761445,-0.744862
W_I_std,0.1760,0.425336,0.273979,0.580190,0.426885,0.783488,0.697913,0.252995,0.381258,0.414790
W_all_mean,-0.0851,-0.090392,-0.054947,0.008066,-0.071859,-0.018910,-0.129456,-0.070955,-0.095493,-0.049939
W_all_std,0.6561,0.773064,0.710515,0.894312,0.776312,1.162054,1.027489,0.667835,0.743217,0.799243
W_in_mean,0.000000,-0.002751,0.016022,-0.179779,-0.078429,-0.038043,0.001622,-0.036157,0.045039,0.061735
W_in_std,0.1000,0.178759,0.260517,0.574870,0.591380,0.546407,0.263190,0.176040,0.362511,0.689154
